"OLD_3new","OLD_2new","OLD_1new","OLD_1old","OLD_2old","OLD_3old","NEW_3new","NEW_2new","NEW_1new","NEW_1old","NEW_2old","NEW_3old","exp","id"
52,33,22,10,24,99,96,50,33,6,19,36,"Pratte_2010","71:Pratte_2010"
1,24,18,14,57,126,20,75,51,21,46,27,"Pratte_2010","72:Pratte_2010"
11,54,12,29,57,77,56,124,19,20,16,5,"Pratte_2010","73:Pratte_2010"
9,55,47,30,41,58,57,92,45,37,6,2,"Pratte_2010","74:Pratte_2010"
11,33,35,37,39,85,62,80,48,26,17,6,"Pratte_2010","75:Pratte_2010"
39,9,3,11,13,165,163,22,10,9,10,26,"Pratte_2010","76:Pratte_2010"
1,25,71,89,43,11,3,52,110,63,12,0,"Pratte_2010","77:Pratte_2010"
6,38,43,39,54,60,38,71,61,32,26,12,"Pratte_2010","78:Pratte_2010"
3,45,35,58,53,46,17,84,54,61,24,0,"Pratte_2010","79:Pratte_2010"
10,51,22,44,46,67,40,102,42,31,22,3,"Pratte_2010","80:Pratte_2010"
55,17,14,9,12,132,195,24,4,5,7,5,"Pratte_2010","81:Pratte_2010"
8,46,13,7,65,101,47,77,23,15,46,32,"Pratte_2010","82:Pratte_2010"
39,24,14,26,32,105,132,56,23,19,6,3,"Pratte_2010","83:Pratte_2010"
6,41,33,24,72,64,46,58,46,34,42,14,"Pratte_2010","84:Pratte_2010"
63,10,1,2,9,154,173,17,0,2,6,42,"Pratte_2010","85:Pratte_2010"
53,20,8,16,13,130,183,31,11,6,5,3,"Pratte_2010","86:Pratte_2010"
5,39,32,45,50,69,14,76,55,37,27,31,"Pratte_2010","87:Pratte_2010"
11,38,28,19,34,109,61,101,27,23,16,12,"Pratte_2010","88:Pratte_2010"
9,66,47,36,44,38,42,117,49,23,9,0,"Pratte_2010","89:Pratte_2010"
29,33,41,32,56,49,91,67,37,20,21,4,"Pratte_2010","90:Pratte_2010"
17,33,36,37,34,81,33,54,52,40,27,31,"Pratte_2010","91:Pratte_2010"
9,31,28,12,45,115,27,88,59,21,28,17,"Pratte_2010","92:Pratte_2010"
82,17,1,2,6,131,179,24,6,3,6,22,"Pratte_2010","93:Pratte_2010"
5,102,10,9,20,93,8,186,22,5,9,10,"Pratte_2010","94:Pratte_2010"
16,61,28,38,53,44,60,109,39,19,13,0,"Pratte_2010","95:Pratte_2010"
11,11,24,47,40,104,3,11,38,46,41,100,"Pratte_2010","96:Pratte_2010"
12,26,13,17,52,118,52,81,26,26,49,6,"Pratte_2010","97:Pratte_2010"
